recipe_id,meal_id,recipe_name,description,instructions,prep_time,cook_time,servings,difficulty,category,diet_type,goal_tag,image_file,is_featured,rating,calories,protein,carbs,fat,fiber,tags,created_at
1,1,"Creamy Banana Oats Bowl","Hearty overnight-style oats cooked with ripe banana, topped with seeds and honey.","1. Add 1/2 cup oats to saucepan with 1.5 cups milk.
2. Cook on medium heat, stirring 5-7 min.
3. Mash 1 ripe banana, stir into oats.
4. Add cinnamon, vanilla, pinch of salt.
5. Remove from heat, let thicken 2 min.
6. Top with sliced banana, chia seeds, honey.
7. Add chopped walnuts for crunch.",10,10,1,Easy,Breakfast,veg,"Weight Loss",recipes/oats_porridge.jpg,1,4.6,280,9.00,48.00,6.50,4.50,"breakfast,oats,banana,healthy,quick","2026-04-08 02:12:04"
2,2,"Peanut Butter Power Toast","High-satiety breakfast with whole wheat toast, creamy PB, banana slices, and chia seeds.","1. Toast 2 slices whole wheat bread till golden.
2. Spread 1.5 tbsp natural peanut butter on each.
3. Slice 1 banana into rounds.
4. Arrange banana slices on toast.
5. Drizzle 1 tsp honey.
6. Sprinkle chia seeds and a pinch of cinnamon.
7. Serve immediately.",5,3,1,Easy,Breakfast,veg,"Weight Gain",recipes/wheat_toast_pb.jpg,0,4.5,280,9.50,34.00,12.50,4.00,"breakfast,peanutbutter,toast,quick","2026-04-08 02:12:04"
3,3,"Colourful Vegetable Poha","Light, aromatic flattened rice cooked with vegetables, mustard, and turmeric.","1. Rinse 1.5 cups thick poha, drain, rest 5 min.
2. Heat oil, add mustard seeds, curry leaves.
3. Add onion, green chili, saute 3 min.
4. Add peas, carrot, cook 4 min.
5. Add turmeric, salt, sugar — mix.
6. Add soaked poha, toss gently.
7. Cook 3 min, squeeze lemon, garnish coriander.",10,15,2,Easy,Breakfast,veg,"Weight Loss",recipes/veg_poha.jpg,0,4.2,180,4.50,32.00,3.50,3.00,"breakfast,poha,indian,lowcalorie","2026-04-08 02:12:04"
4,4,"High-Protein Moong Cheela","Savory moong dal crepes packed with protein — an Indian superfood breakfast.","1. Soak 1 cup moong dal 4 hours, drain.
2. Grind to smooth batter with ginger, green chili.
3. Add chopped onion, coriander, salt, ajwain.
4. Heat non-stick pan, lightly oil.
5. Pour ladle of batter, spread thin circle.
6. Add finely chopped veggies on top.
7. Cook 3 min each side till golden crisp.",15,20,3,Medium,Breakfast,veg,"Muscle Gain",recipes/moong_cheela.jpg,1,4.6,210,12.50,28.00,5.00,4.50,"breakfast,protein,moong,indian","2026-04-08 02:12:04"
5,5,"Layered Greek Yogurt Parfait","Elegant parfait with protein-rich yogurt, fresh fruits, granola, and honey.","1. Take 200g thick Greek yogurt in a tall glass.
2. Add 2 tbsp crunchy granola as base layer.
3. Add mixed berries: strawberry, blueberry, raspberry.
4. Repeat yogurt-granola-fruit layers.
5. Drizzle 1 tsp raw honey on top.
6. Add 5-6 mint leaves for freshness.
7. Dust with cinnamon, serve immediately.",5,0,1,Easy,Breakfast,veg,All,recipes/yogurt_parfait.jpg,1,4.7,240,14.00,28.00,7.00,2.00,"breakfast,yogurt,parfait,highprotein,quick","2026-04-08 02:12:04"
6,6,"Traditional Idli Sambar","Soft steamed rice cakes with spiced vegetable lentil soup — South India classic.","1. Ferment idli batter overnight (or use store-bought).
2. Grease idli molds, pour batter, steam 12-15 min.
3. For sambar: pressure cook toor dal with tomato, turmeric.
4. Saute onion, drumstick, brinjal in oil.
5. Add tamarind water, sambar powder, cooked dal.
6. Temper with mustard, curry leaves, dried red chili.
7. Serve hot idlis with sambar and coconut chutney.",480,30,4,Hard,Breakfast,veg,"Weight Loss",recipes/idli_sambar.jpg,0,4.5,220,8.00,42.00,2.50,3.50,"breakfast,idli,sambar,southindian,fermented","2026-04-08 02:12:04"
7,7,"Masala Vegetable Upma","South Indian semolina porridge with vegetables, mustard seeds, and curry leaves.","1. Dry roast 1 cup fine rava (semolina) till light golden.
2. Heat oil, add mustard, urad dal, curry leaves.
3. Add onion, ginger, green chili — saute 3 min.
4. Add carrot, peas, beans — cook 5 min.
5. Add 2.5 cups boiling water, salt.
6. Slowly pour roasted rava, stir constantly.
7. Cover and cook 5 min, serve with coconut chutney.",10,20,2,Medium,Breakfast,veg,"Weight Loss",recipes/upma.jpg,0,4.0,210,5.50,38.00,5.00,4.00,"breakfast,upma,southindian,semolina","2026-04-08 02:12:04"
8,8,"Fluffy 3-Ingredient Banana Pancakes","Naturally sweet gluten-friendly pancakes with banana, oats, and eggs.","1. Mash 2 very ripe bananas in a bowl until smooth.
2. Add 1 cup oats blended to flour.
3. Add 2 eggs, vanilla, pinch of cinnamon.
4. Mix till batter forms — it will be thick.
5. Pour small rounds on greased non-stick pan.
6. Cook on medium 2-3 min, flip carefully.
7. Stack and serve with berries and maple syrup.",5,15,2,Easy,Breakfast,veg,All,recipes/banana_pancakes.jpg,0,4.4,260,8.00,40.00,8.00,4.00,"breakfast,pancakes,banana,glutenfree","2026-04-08 02:12:04"
9,9,"Indian Spicy Masala Omelette","Bold, flavourful egg-free omelette made from chickpea flour with Indian spices.","1. Mix 1 cup besan with water to pancake batter consistency.
2. Add turmeric, chili powder, cumin, salt.
3. Fold in: onion, tomato, green chili, coriander.
4. Heat oil in flat pan.
5. Pour mixture, spread in circle.
6. Cook 3-4 min each side till cooked through.
7. Serve with mint chutney and toast.",5,10,2,Easy,Breakfast,veg,All,recipes/masala_omelette.jpg,0,4.3,180,8.00,22.00,7.00,4.00,"breakfast,masala,omelette,spicy,indian","2026-04-08 02:12:04"
10,10,"Smashed Avocado Sourdough Toast","Trendy nutritious toast with avocado, cherry tomatoes, and chili flakes.","1. Toast 2 thick slices sourdough bread.
2. Halve 1 ripe avocado, remove pit.
3. Scoop flesh into bowl, mash with fork.
4. Add lemon juice, salt, black pepper, garlic powder.
5. Spread generously on toast.
6. Top with halved cherry tomatoes.
7. Sprinkle red chili flakes, sesame seeds, drizzle olive oil.",5,3,1,Easy,Breakfast,veg,All,recipes/avocado_toast.jpg,1,4.8,250,5.00,24.00,16.00,7.00,"breakfast,avocado,toast,healthy,trendy","2026-04-08 02:12:04"
